index,Hour,"['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_1","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_2","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_3","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_4","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_5","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_6","['sat', 'sun', 'mon', 'tue', 'wed', 'thu', 'fri']_7",Holiday,is_kul_holiday,LC_TEMP_QCL3,LC_RAININ,LC_DAILYRAIN,LC_WINDSPEED,heavy,car,bike,pedestrian
3697,1,False,False,False,False,False,True,False,0,False,17.84260395937723,0.0,0.0,0.0955092592592592,0.0,0.0,0.0,0.0
3927,15,True,False,False,False,False,False,False,0,False,20.22302865783589,0.0,0.0,0.6770216049382716,16.0910199106,125.8025193011,215.0345388054,42.4217797643
3644,20,False,False,True,False,False,False,False,0,False,15.986639713623646,0.0,2.7777777777777782e-05,0.4005092592592592,0.0,0.0,0.0,0.0
3698,2,False,False,False,False,False,True,False,0,False,17.57149651508951,0.0,0.0,0.1616975308641975,0.0,0.0,0.0,0.0
3767,23,True,False,False,False,False,False,False,1,False,13.130340578957512,0.0,0.0001388888888888,0.0101543209876543,0.0,0.0,0.0,0.0
3926,14,True,False,False,False,False,False,False,0,False,19.88243262042049,0.0,0.0,0.6377777777777778,14.9222797927,160.414507772,290.9844559585,35.4404145078
3919,7,True,False,False,False,False,False,False,0,False,12.984169122398765,0.0,0.0,0.0484104938271605,16.7681834468,175.4209960588,285.0591185955,19.3479039771
3796,4,False,False,True,False,False,False,False,0,False,12.490268837065004,0.0,4.629629629629629e-05,0.0110185185185185,35.4679802956,98.219022357,64.1151951497,1.3641530883
3746,2,True,False,False,False,False,False,False,1,False,14.9925254066486,7.71604938271605e-06,3.703703703703704e-05,0.3533179012345679,0.0,0.0,0.0,0.0
3716,20,False,False,False,False,False,True,False,0,False,24.48823032216172,0.0,0.0,0.200324074074074,0.0,0.0,0.0,0.0
3630,6,False,False,True,False,False,False,False,0,False,7.666664278028815,1.0802469135802469e-05,0.0,0.0502314814814814,49.1512915129,263.0258302583,475.5719557196,19.926199262
3808,16,False,False,True,False,False,False,False,0,False,15.789876342610471,0.0002391975308641,0.0225987654320987,0.2105709876543209,16.0415893056,224.5822502785,375.640549573,24.0623839584
3849,9,False,False,False,False,True,False,False,0,False,17.14744044671604,3.08641975308642e-06,0.0,0.3275,30.1419730615,289.6250455042,326.3196214052,17.0367673826
3871,7,False,False,False,False,False,True,False,0,False,16.72383460743552,0.0,0.0,0.0671604938271605,7.7474892396,154.949784792,180.774748924,7.7474892396
3701,5,False,False,False,False,False,True,False,0,False,15.750381179565904,0.0,0.0,0.2340895061728395,23.7830319889,42.5591098748,27.5382475661,5.0069541029
3641,17,False,False,True,False,False,False,False,0,False,16.826105106753584,0.0,2.7777777777777782e-05,0.4353395061728395,15.640839971,97.755249819,372.773352643,37.7986965967
3739,19,False,False,False,False,False,False,True,1,False,18.1841516953866,6.17283950617284e-06,0.0359922839506172,0.1812654320987654,5.8679706601,123.2273838631,126.1613691932,5.8679706601
3745,1,True,False,False,False,False,False,False,1,False,15.398633780814444,1.234567901234568e-05,2.7777777777777782e-05,0.3612345679012346,0.0,0.0,0.0,0.0
3758,14,True,False,False,False,False,False,False,1,False,18.31634236096106,0.0,0.0001296296296296,0.8653240740740741,12.61829653,166.5615141956,258.6750788644,15.141955836
3717,21,False,False,False,False,False,True,False,0,False,23.067497677614213,0.0,0.0,0.1055709876543209,0.0,0.0,0.0,0.0
3855,15,False,False,False,False,True,False,False,0,False,22.763694879819685,0.0,0.0,0.5050617283950617,24.9180327869,275.4098360656,539.0163934426,20.9836065574
3850,10,False,False,False,False,True,False,False,0,False,18.82036746521288,0.0,0.0,0.6411265432098765,12.7886323268,228.5968028419,334.1030195382,14.3872113677
3901,13,False,False,False,False,False,False,True,1,False,21.71750646502118,0.0,0.0,0.4344907407407407,15.952732644,138.2570162482,163.0723781388,1.7725258493
3899,11,False,False,False,False,False,False,True,1,False,19.894835441276754,0.0,0.0,0.2441358024691358,2.7777777778,162.5,175.0,1.3888888889
3640,16,False,False,True,False,False,False,False,0,False,17.29521771794219,0.0,2.7777777777777782e-05,0.5745061728395061,17.2058823529,156.1764705882,460.5882352941,23.8235294118
3773,5,False,True,False,False,False,False,False,0,False,10.840169727815177,1.54320987654321e-06,0.0,0.1199074074074074,32.7960756833,162.71899089,185.423966363,2.5227750526
3628,4,False,False,True,False,False,False,False,0,False,7.976961239113562,0.0,0.0,0.0253549382716049,37.8947368421,87.1578947368,56.8421052632,2.5263157895
3815,23,False,False,True,False,False,False,False,0,False,15.048068466863564,9.25925925925926e-06,0.0229413580246913,0.3123611111111111,0.0,0.0,0.0,0.0
3876,12,False,False,False,False,False,True,False,0,False,21.23672296555397,0.0,0.0,0.3077314814814815,11.1844660194,274.0194174757,355.1067961165,5.5922330097
3904,16,False,False,False,False,False,False,True,1,False,22.566489746251985,0.0,0.0,0.4637345679012346,11.596277738,143.0207587688,351.753758053,18.0386542591
3631,7,False,False,True,False,False,False,False,0,False,9.232286934972617,0.0,0.0,0.1265895061728395,29.1176470588,210.4411764706,338.8235294118,9.2647058824
3658,10,False,False,False,True,False,False,False,0,False,15.024712310960384,0.0,0.0,0.1474382716049382,7.630351844,198.389147944,293.0055108097,9.1564222128
3789,21,False,True,False,False,False,False,False,0,False,17.58778650797069,0.0,0.0041203703703703,0.0754166666666666,0.0,0.0,0.0,0.0
3636,12,False,False,True,False,False,False,False,0,False,17.026411510730863,0.0,1.851851851851852e-05,0.5063117283950617,23.2091690544,232.0916905444,300.4297994269,16.7621776504
3832,16,False,False,False,True,False,False,False,0,False,20.54491636003737,0.0,5.5555555555555565e-05,0.3584259259259259,19.8456449835,168.02646086,448.5115766262,27.7839029768
