date,heavy,car,bike,pedestrian,timezone,description,month,day,hour,year
00:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,0,2022
01:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,1,2022
02:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,2,2022
03:00 01-06-2022,20.5323193916,6.8441064639,20.5323193916,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,3,2022
04:00 01-06-2022,37.8947368421,87.1578947368,56.8421052632,2.5263157895,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,4,2022
05:00 01-06-2022,33.9979013641,156.1385099685,175.0262329486,2.518363064,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,5,2022
06:00 01-06-2022,49.1512915129,263.0258302583,475.5719557196,19.926199262,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,6,2022
07:00 01-06-2022,29.1176470588,210.4411764706,338.8235294118,9.2647058824,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,7,2022
08:00 01-06-2022,34.386480529,197.0609845702,234.092578986,13.2255694342,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,8,2022
09:00 01-06-2022,14.6558105107,242.4870466321,182.5314581791,9.3264248705,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,9,2022
10:00 01-06-2022,16.9565217391,219.1304347826,292.1739130435,13.0434782609,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,10,2022
11:00 01-06-2022,22.8169014085,238.3098591549,287.7464788732,13.9436619718,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,11,2022
12:00 01-06-2022,23.2091690544,232.0916905444,300.4297994269,16.7621776504,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,12,2022
13:00 01-06-2022,29.8507462687,165.671641791,328.3582089552,32.8358208955,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,13,2022
14:00 01-06-2022,33.900760594,159.0727997102,367.692864904,23.4697573343,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,14,2022
15:00 01-06-2022,15.8273381295,164.0287769784,407.1942446043,18.7050359712,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,15,2022
16:00 01-06-2022,17.2058823529,156.1764705882,460.5882352941,23.8235294118,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,16,2022
17:00 01-06-2022,15.640839971,97.755249819,372.773352643,37.7986965967,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,17,2022
18:00 01-06-2022,14.0127388535,95.5414012739,240.7643312102,14.0127388535,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,18,2022
19:00 01-06-2022,14.4827586207,105.5172413793,347.5862068966,22.7586206897,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,19,2022
20:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,20,2022
21:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,21,2022
22:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,22,2022
23:00 01-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,1,23,2022
00:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,0,2022
01:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,1,2022
02:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,2,2022
03:00 02-06-2022,15.652173913,39.1304347826,7.8260869565,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,3,2022
04:00 02-06-2022,33.8675958188,74.0069686411,71.4982578397,3.7630662021,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,4,2022
05:00 02-06-2022,36.6959578207,103.7609841828,206.2565905097,6.3268892794,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,5,2022
06:00 02-06-2022,53.4588917059,219.0510684535,550.2354219486,9.1271278522,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,6,2022
07:00 02-06-2022,45.4381536242,154.4897223224,301.1900468806,23.3681932925,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,7,2022
08:00 02-06-2022,51.7508293402,183.1183192038,278.6583118319,15.9233321047,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,8,2022
09:00 02-06-2022,17.02798581,198.6598344501,228.4588096177,8.513992905,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,9,2022
10:00 02-06-2022,7.630351844,198.389147944,293.0055108097,9.1564222128,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,10,2022
11:00 02-06-2022,33.2263242376,239.8073836276,327.9293739968,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,11,2022
12:00 02-06-2022,54.5218520121,200.9519688447,277.2825616616,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,12,2022
13:00 02-06-2022,33.5403726708,156.5217391304,301.8633540373,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,13,2022
14:00 02-06-2022,24.6364414029,143.1993156544,298.7168520103,6.1591103507,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,14,2022
15:00 02-06-2022,10.8474576271,107.1186440678,142.3728813559,8.1355932203,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,15,2022
16:00 02-06-2022,23.5465116279,150.4360465116,504.9418604651,18.3139534884,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,16,2022
17:00 02-06-2022,16.9014084507,106.6088840737,501.8418201517,58.5048754063,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,17,2022
18:00 02-06-2022,10.2309058615,90.7992895204,223.8010657194,5.1154529307,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,18,2022
19:00 02-06-2022,8.2004555809,118.9066059226,295.2164009112,2.0501138952,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,19,2022
20:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,20,2022
21:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,21,2022
22:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,22,2022
23:00 02-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,2,23,2022
00:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,0,2022
01:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,1,2022
02:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,2,2022
03:00 03-06-2022,16.2162162162,24.3243243243,56.7567567568,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,3,2022
04:00 03-06-2022,23.6269430052,73.3678756477,53.4715025907,1.2435233161,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,4,2022
05:00 03-06-2022,41.8015482055,107.6706544687,168.4729064039,1.266713582,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,5,2022
06:00 03-06-2022,45.0643776824,233.0472103004,506.008583691,19.313304721,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,6,2022
07:00 03-06-2022,50.1070663812,170.8779443255,355.8886509636,11.5631691649,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,7,2022
08:00 03-06-2022,33.1034482759,155.8620689655,331.0344827586,12.4137931034,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,8,2022
09:00 03-06-2022,50.2571638501,202.3512123439,259.2211609111,7.9353416605,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,9,2022
10:00 03-06-2022,31.0466483732,179.2238337907,303.4104272834,28.2242257938,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,10,2022
11:00 03-06-2022,32.2234156821,174.0064446831,396.992481203,10.3114930183,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,11,2022
12:00 03-06-2022,24.9710982659,177.5722543353,375.9537572254,13.8728323699,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,12,2022
13:00 03-06-2022,31.6344463972,222.7065026362,465.6590509666,7.5922671353,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,13,2022
14:00 03-06-2022,28.3667621777,202.435530086,528.6532951289,16.7621776504,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,14,2022
15:00 03-06-2022,16.6904422254,193.8659058488,499.4293865906,17.9743223966,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,15,2022
16:00 03-06-2022,19.2444761226,183.4640057021,505.4882394868,15.3955808981,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,16,2022
17:00 03-06-2022,11.3247116393,208.8780146802,454.2467668647,7.5498077595,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,17,2022
18:00 03-06-2022,12.8479657388,161.8843683084,298.0728051392,7.7087794433,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,18,2022
19:00 03-06-2022,13.881748072,138.8174807198,310.0257069409,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,19,2022
20:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,20,2022
21:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,21,2022
22:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,22,2022
23:00 03-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,3,23,2022
00:00 04-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,0,2022
01:00 04-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,1,2022
02:00 04-06-2022,0.0,0.0,0.0,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,2,2022
03:00 04-06-2022,0.0,41.0646387833,13.6882129278,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,3,2022
04:00 04-06-2022,6.2630480167,43.8413361169,27.5574112735,3.75782881,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,4,2022
05:00 04-06-2022,23.7830319889,42.5591098748,27.5382475661,5.0069541029,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,5,2022
06:00 04-06-2022,17.5060784995,83.7790899618,98.7843001042,5.0017367141,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,6,2022
07:00 04-06-2022,12.4309392265,96.9613259669,164.0883977901,8.7016574586,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,7,2022
08:00 04-06-2022,15.3736654804,146.0498220641,271.6014234875,21.7793594306,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,8,2022
09:00 04-06-2022,1.3333333333,160.0,257.3333333333,13.3333333333,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,9,2022
10:00 04-06-2022,21.2264150943,182.5471698113,210.8490566038,7.0754716981,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,10,2022
11:00 04-06-2022,12.5043417853,170.0590482807,258.8398749566,1.2504341785,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,11,2022
12:00 04-06-2022,14.044213264,190.3771131339,265.2795838752,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,12,2022
13:00 04-06-2022,0.0,242.9447852761,176.6871165644,0.0,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,13,2022
14:00 04-06-2022,7.6824583867,107.5544174136,245.8386683739,29.1933418694,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,14,2022
15:00 04-06-2022,8.1355932203,82.7118644068,176.2711864407,8.1355932203,Europe/Brussels,MP 05: Calvariekapel KU Leuven,6,4,15,2022
