,0
0,41.376957
1,53.994617
2,59.505848
3,54.93984
4,52.669434
5,42.96049
6,55.05623
7,54.374268
8,53.58546
9,53.747387
10,38.323875
11,55.01128
12,54.283207
13,57.582172
14,55.158287
15,53.57878
16,56.66831
17,53.695835
18,55.39395
19,52.91828
20,55.66772
21,46.833065
22,51.804268
23,57.401566
24,53.688454
25,53.90508
26,54.379333
27,38.404205
28,55.40947
29,55.996716
30,57.549713
31,41.54695
32,53.91712
33,36.93424
34,52.5945
35,59.228497
36,42.668087
37,44.0339
38,53.61702
39,56.038895
40,48.226246
41,53.08626
42,56.163166
43,55.904167
44,39.7788
45,52.526653
