description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-04-01 00:24:52.570,97.0,Human voice - Shouting,97.0%,4,1,0,24,52,570,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 00:32:15.550,78.0,Transport road - Siren,78.0%,4,1,0,32,15,550,68.8,67.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 00:43:03.570,98.0,Human voice - Shouting,98.0%,4,1,0,43,3,570,79.8,74.9
MP 01: Naamsestraat 35  Maxim,2022-04-01 00:49:51.570,100.0,Human voice - Shouting,100.0%,4,1,0,49,51,570,72.5,70.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 00:57:07.590,100.0,Human voice - Shouting,100.0%,4,1,0,57,7,590,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:17:22.610,88.0,Human voice - Shouting,88.0%,4,1,1,17,22,610,70.6,68.6
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:22:44.610,100.0,Human voice - Shouting,100.0%,4,1,1,22,44,610,69.5,67.4
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:23:00.620,100.0,Human voice - Shouting,100.0%,4,1,1,23,0,620,69.2,67.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:25:48.630,95.0,Human voice - Shouting,95.0%,4,1,1,25,48,630,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:31:16.630,98.0,Human voice - Shouting,98.0%,4,1,1,31,16,630,72.2,69.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:36:31.630,0.0,Unsupported,0.0%,4,1,1,36,31,630,67.8,67.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:37:33.630,100.0,Human voice - Shouting,100.0%,4,1,1,37,33,630,76.8,74.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:40:14.630,95.0,Human voice - Shouting,95.0%,4,1,1,40,14,630,74.1,71.4
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:48:03.650,95.0,Human voice - Shouting,95.0%,4,1,1,48,3,650,69.8,67.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:48:37.650,85.0,Human voice - Shouting,85.0%,4,1,1,48,37,650,68.1,67.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 01:49:08.650,99.0,Human voice - Shouting,99.0%,4,1,1,49,8,650,70.8,67.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:05:24.660,99.0,Human voice - Shouting,99.0%,4,1,2,5,24,660,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:08:09.670,100.0,Human voice - Shouting,100.0%,4,1,2,8,9,670,70.4,67.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:08:35.680,100.0,Human voice - Shouting,100.0%,4,1,2,8,35,680,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:28:38.690,0.0,Unsupported,0.0%,4,1,2,28,38,690,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:33:00.700,100.0,Human voice - Shouting,100.0%,4,1,2,33,0,700,79.3,76.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:33:09.710,100.0,Human voice - Shouting,100.0%,4,1,2,33,9,710,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:46:30.720,100.0,Human voice - Shouting,100.0%,4,1,2,46,30,720,78.8,73.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:46:36.720,100.0,Human voice - Shouting,100.0%,4,1,2,46,36,720,74.2,71.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 02:55:39.740,100.0,Human voice - Shouting,100.0%,4,1,2,55,39,740,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:16:20.760,100.0,Human voice - Shouting,100.0%,4,1,3,16,20,760,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:22:32.760,100.0,Human voice - Shouting,100.0%,4,1,3,22,32,760,69.1,67.4
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:27:05.760,100.0,Human voice - Shouting,100.0%,4,1,3,27,5,760,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:33:40.770,99.0,Human voice - Shouting,99.0%,4,1,3,33,40,770,75.3,72.5
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:49:42.790,100.0,Human voice - Shouting,100.0%,4,1,3,49,42,790,76.8,72.4
MP 01: Naamsestraat 35  Maxim,2022-04-01 03:56:40.800,100.0,Human voice - Shouting,100.0%,4,1,3,56,40,800,70.3,67.8
MP 01: Naamsestraat 35  Maxim,2022-04-01 04:10:11.810,100.0,Human voice - Shouting,100.0%,4,1,4,10,11,810,74.8,72.8
MP 01: Naamsestraat 35  Maxim,2022-04-01 06:52:03.970,84.0,Transport road - Passenger car,84.0%,4,1,6,52,3,970,70.1,68.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 07:19:38.100,100.0,Transport road - Passenger car,100.0%,4,1,7,19,38,100,68.9,68.3
MP 01: Naamsestraat 35  Maxim,2022-04-01 07:36:26.102,76.0,Transport road - Passenger car,76.0%,4,1,7,36,26,102,68.2,67.5
MP 01: Naamsestraat 35  Maxim,2022-04-01 07:37:27.102,0.0,Unsupported,0.0%,4,1,7,37,27,102,70.1,68.4
MP 01: Naamsestraat 35  Maxim,2022-04-01 07:40:51.102,85.0,Transport road - Passenger car,85.0%,4,1,7,40,51,102,68.5,67.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 08:06:32.105,100.0,Transport road - Passenger car,100.0%,4,1,8,6,32,105,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 08:10:13.105,76.0,Transport road - Passenger car,76.0%,4,1,8,10,13,105,70.0,69.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 08:30:04.106,0.0,Unsupported,0.0%,4,1,8,30,4,106,68.7,68.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 08:48:38.107,100.0,Transport road - Passenger car,100.0%,4,1,8,48,38,107,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 08:53:11.108,99.0,Transport road - Passenger car,99.0%,4,1,8,53,11,108,69.4,68.9
MP 01: Naamsestraat 35  Maxim,2022-04-01 09:10:25.109,0.0,Unsupported,0.0%,4,1,9,10,25,109,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 09:16:42.110,0.0,Unsupported,0.0%,4,1,9,16,42,110,69.0,67.3
MP 01: Naamsestraat 35  Maxim,2022-04-01 10:25:54.115,87.0,Transport road - Passenger car,87.0%,4,1,10,25,54,115,70.8,69.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 10:53:16.118,76.0,Human voice - Shouting,76.0%,4,1,10,53,16,118,74.7,68.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 10:56:05.119,0.0,Unsupported,0.0%,4,1,10,56,5,119,85.2,79.9
MP 01: Naamsestraat 35  Maxim,2022-04-01 10:56:58.118,98.0,Human voice - Shouting,98.0%,4,1,10,56,58,118,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 10:59:13.119,99.0,Transport road - Passenger car,99.0%,4,1,10,59,13,119,68.0,67.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 11:10:39.120,98.0,Transport road - Passenger car,98.0%,4,1,11,10,39,120,71.0,69.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 11:40:16.123,100.0,Transport road - Passenger car,100.0%,4,1,11,40,16,123,69.3,68.2
MP 01: Naamsestraat 35  Maxim,2022-04-01 11:45:21.123,77.0,Transport road - Passenger car,77.0%,4,1,11,45,21,123,71.9,67.6
MP 01: Naamsestraat 35  Maxim,2022-04-01 11:59:41.125,93.0,Human voice - Shouting,93.0%,4,1,11,59,41,125,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:00:05.125,0.0,Unsupported,0.0%,4,1,12,0,5,125,75.1,70.0
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:01:44.124,99.0,Transport road - Passenger car,99.0%,4,1,12,1,44,124,,
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:12:10.125,0.0,Unsupported,0.0%,4,1,12,12,10,125,75.6,72.1
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:12:31.125,0.0,Unsupported,0.0%,4,1,12,12,31,125,71.8,69.7
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:14:06.125,98.0,Human voice - Shouting,98.0%,4,1,12,14,6,125,76.4,70.5
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:14:18.126,100.0,Human voice - Shouting,100.0%,4,1,12,14,18,126,74.9,71.6
MP 01: Naamsestraat 35  Maxim,2022-04-01 12:15:39.126,78.0,Human voice - Shouting,78.0%,4,1,12,15,39,126,,
