description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-08-01 00:46:10.988,100.0,Transport road - Passenger car,100.0%,8,1,0,46,10,988,66.6,64.8
MP 01: Naamsestraat 35  Maxim,2022-08-01 00:51:07.989,0.0,Unsupported,0.0%,8,1,0,51,7,989,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 00:54:51.990,99.0,Transport road - Passenger car,99.0%,8,1,0,54,51,990,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 01:25:17.000,100.0,Transport road - Passenger car,100.0%,8,1,1,25,17,0,65.1,64.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 01:32:56.200,93.0,Human voice - Shouting,93.0%,8,1,1,32,56,200,73.6,71.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 02:16:54.150,82.0,Transport road - Passenger car,82.0%,8,1,2,16,54,150,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 02:57:37.280,100.0,Transport road - Passenger car,100.0%,8,1,2,57,37,280,69.7,68.0
MP 01: Naamsestraat 35  Maxim,2022-08-01 03:35:47.400,100.0,Transport road - Passenger car,100.0%,8,1,3,35,47,400,68.1,66.8
MP 01: Naamsestraat 35  Maxim,2022-08-01 06:03:43.840,100.0,Transport road - Passenger car,100.0%,8,1,6,3,43,840,65.5,64.6
MP 01: Naamsestraat 35  Maxim,2022-08-01 06:24:54.900,77.0,Transport road - Passenger car,77.0%,8,1,6,24,54,900,66.6,65.9
MP 01: Naamsestraat 35  Maxim,2022-08-01 06:54:53.990,97.0,Transport road - Passenger car,97.0%,8,1,6,54,53,990,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:03:46.101,0.0,Unsupported,0.0%,8,1,7,3,46,101,67.0,66.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:07:20.103,89.0,Transport road - Passenger car,89.0%,8,1,7,7,20,103,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:18:33.106,84.0,Transport road - Passenger car,84.0%,8,1,7,18,33,106,68.4,67.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:19:20.105,82.0,Transport road - Passenger car,82.0%,8,1,7,19,20,105,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:19:55.106,77.0,Transport road - Passenger car,77.0%,8,1,7,19,55,106,67.3,66.0
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:30:50.109,100.0,Transport road - Passenger car,100.0%,8,1,7,30,50,109,68.9,68.2
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:31:31.109,96.0,Transport road - Passenger car,96.0%,8,1,7,31,31,109,68.0,67.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:35:54.110,88.0,Transport road - Passenger car,88.0%,8,1,7,35,54,110,66.7,65.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:40:42.112,0.0,Unsupported,0.0%,8,1,7,40,42,112,65.9,65.0
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:53:21.116,98.0,Transport road - Passenger car,98.0%,8,1,7,53,21,116,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 07:54:01.115,91.0,Transport road - Passenger car,91.0%,8,1,7,54,1,115,66.0,65.5
MP 01: Naamsestraat 35  Maxim,2022-08-01 08:10:55.120,76.0,Transport road - Passenger car,76.0%,8,1,8,10,55,120,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 08:17:58.122,0.0,Unsupported,0.0%,8,1,8,17,58,122,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 08:21:33.123,100.0,Transport road - Passenger car,100.0%,8,1,8,21,33,123,67.0,65.3
MP 01: Naamsestraat 35  Maxim,2022-08-01 08:47:14.131,97.0,Transport road - Passenger car,97.0%,8,1,8,47,14,131,66.2,65.5
MP 01: Naamsestraat 35  Maxim,2022-08-01 09:08:41.138,99.0,Transport road - Passenger car,99.0%,8,1,9,8,41,138,69.0,66.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 09:24:55.143,88.0,Transport road - Passenger car,88.0%,8,1,9,24,55,143,65.0,64.5
MP 01: Naamsestraat 35  Maxim,2022-08-01 09:29:05.145,97.0,Transport road - Passenger car,97.0%,8,1,9,29,5,145,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:04:33.153,100.0,Transport road - Passenger car,100.0%,8,1,10,4,33,153,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:05:08.155,80.0,Transport road - Passenger car,80.0%,8,1,10,5,8,155,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:08:21.156,91.0,Transport road - Passenger car,91.0%,8,1,10,8,21,156,67.2,66.6
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:11:42.157,94.0,Transport road - Passenger car,94.0%,8,1,10,11,42,157,65.5,64.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:12:26.157,86.0,Transport road - Passenger car,86.0%,8,1,10,12,26,157,69.0,67.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:32:53.163,86.0,Transport road - Passenger car,86.0%,8,1,10,32,53,163,65.5,64.6
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:44:50.167,99.0,Transport road - Passenger car,99.0%,8,1,10,44,50,167,65.7,65.2
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:50:10.169,100.0,Transport road - Passenger car,100.0%,8,1,10,50,10,169,66.6,65.9
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:51:43.170,0.0,Unsupported,0.0%,8,1,10,51,43,170,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:54:24.170,100.0,Transport road - Passenger car,100.0%,8,1,10,54,24,170,66.2,65.5
MP 01: Naamsestraat 35  Maxim,2022-08-01 10:55:37.170,93.0,Transport road - Passenger car,93.0%,8,1,10,55,37,170,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 11:09:47.175,92.0,Transport road - Passenger car,92.0%,8,1,11,9,47,175,65.4,64.5
MP 01: Naamsestraat 35  Maxim,2022-08-01 11:43:31.188,80.0,Transport road - Passenger car,80.0%,8,1,11,43,31,188,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 12:12:00.196,76.0,Transport road - Passenger car,76.0%,8,1,12,12,0,196,66.2,64.9
MP 01: Naamsestraat 35  Maxim,2022-08-01 12:32:42.203,100.0,Transport road - Passenger car,100.0%,8,1,12,32,42,203,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 12:34:24.202,99.0,Transport road - Passenger car,99.0%,8,1,12,34,24,202,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 12:39:23.202,99.0,Transport road - Passenger car,99.0%,8,1,12,39,23,202,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 12:55:18.209,83.0,Transport road - Passenger car,83.0%,8,1,12,55,18,209,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 13:03:50.213,0.0,Unsupported,0.0%,8,1,13,3,50,213,66.5,65.6
MP 01: Naamsestraat 35  Maxim,2022-08-01 13:07:00.213,100.0,Transport road - Passenger car,100.0%,8,1,13,7,0,213,66.2,65.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 13:28:02.221,100.0,Transport road - Passenger car,100.0%,8,1,13,28,2,221,67.1,66.0
MP 01: Naamsestraat 35  Maxim,2022-08-01 13:50:18.228,100.0,Transport road - Passenger car,100.0%,8,1,13,50,18,228,64.9,64.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 14:34:19.244,100.0,Transport road - Passenger car,100.0%,8,1,14,34,19,244,65.2,64.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 14:35:33.244,98.0,Transport road - Passenger car,98.0%,8,1,14,35,33,244,71.3,68.7
MP 01: Naamsestraat 35  Maxim,2022-08-01 14:59:31.253,89.0,Transport road - Passenger car,89.0%,8,1,14,59,31,253,68.7,65.9
MP 01: Naamsestraat 35  Maxim,2022-08-01 15:03:12.252,86.0,Transport road - Passenger car,86.0%,8,1,15,3,12,252,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 15:18:17.260,0.0,Unsupported,0.0%,8,1,15,18,17,260,66.0,64.7
MP 01: Naamsestraat 35  Maxim,2022-08-01 15:43:07.269,91.0,Transport road - Passenger car,91.0%,8,1,15,43,7,269,65.4,64.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 15:58:57.275,0.0,Unsupported,0.0%,8,1,15,58,57,275,68.2,66.4
MP 01: Naamsestraat 35  Maxim,2022-08-01 16:01:10.275,96.0,Transport road - Passenger car,96.0%,8,1,16,1,10,275,65.3,64.1
MP 01: Naamsestraat 35  Maxim,2022-08-01 16:14:50.281,0.0,Unsupported,0.0%,8,1,16,14,50,281,,
MP 01: Naamsestraat 35  Maxim,2022-08-01 17:11:44.301,86.0,Transport road - Passenger car,86.0%,8,1,17,11,44,301,67.0,64.8
