description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:00:55.398,0.0,Unsupported,0.0%,12,1,0,0,55,398,82.3,77.9
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:01:24.398,98.0,Transport road - Passenger car,98.0%,12,1,0,1,24,398,69.6,66.7
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:07:42.399,79.0,Transport road - Passenger car,79.0%,12,1,0,7,42,399,67.8,66.7
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:08:30.399,100.0,Human voice - Shouting,100.0%,12,1,0,8,30,399,,
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:23:42.402,99.0,Human voice - Shouting,99.0%,12,1,0,23,42,402,76.7,72.0
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:23:55.402,0.0,Unsupported,0.0%,12,1,0,23,55,402,66.8,65.3
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:34:23.405,0.0,Unsupported,0.0%,12,1,0,34,23,405,,
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:44:09.406,84.0,Human voice - Shouting,84.0%,12,1,0,44,9,406,71.1,67.9
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:44:39.407,90.0,Human voice - Shouting,90.0%,12,1,0,44,39,407,,
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:45:05.406,0.0,Unsupported,0.0%,12,1,0,45,5,406,67.0,65.9
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:45:41.407,0.0,Unsupported,0.0%,12,1,0,45,41,407,70.3,68.0
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:47:54.406,98.0,Human voice - Shouting,98.0%,12,1,0,47,54,406,77.0,71.0
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:48:10.407,100.0,Human voice - Shouting,100.0%,12,1,0,48,10,407,83.2,77.7
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:48:18.406,82.0,Human voice - Shouting,82.0%,12,1,0,48,18,406,,
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:49:03.407,100.0,Human voice - Shouting,100.0%,12,1,0,49,3,407,66.6,64.5
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:51:14.408,87.0,Human voice - Shouting,87.0%,12,1,0,51,14,408,68.3,65.1
MP 01: Naamsestraat 35  Maxim,2022-12-01 00:51:50.408,95.0,Human voice - Shouting,95.0%,12,1,0,51,50,408,,
