description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-02-28 08:27:21.737,,,,2,28,8,27,21,737,69.4,68.1
MP 01: Naamsestraat 35  Maxim,2022-02-28 13:58:21.356,,,,2,28,13,58,21,356,73.8,72.9
MP 01: Naamsestraat 35  Maxim,2022-02-28 16:43:15.393,,,,2,28,16,43,15,393,71.0,70.1
MP 01: Naamsestraat 35  Maxim,2022-02-28 19:22:48.428,,,,2,28,19,22,48,428,91.6,87.5
MP 01: Naamsestraat 35  Maxim,2022-02-28 20:32:20.440,,,,2,28,20,32,20,440,71.9,69.8
MP 01: Naamsestraat 35  Maxim,2022-02-28 22:17:57.452,,,,2,28,22,17,57,452,78.2,73.6
MP 01: Naamsestraat 35  Maxim,2022-02-28 22:49:34.456,,,,2,28,22,49,34,456,,
MP 01: Naamsestraat 35  Maxim,2022-02-28 23:40:57.461,,,,2,28,23,40,57,461,,
MP 03: Naamsestraat 62 Taste,2022-02-01 06:39:13.720,97.0,Transport road - Passenger car,97.0%,2,1,6,39,13,720,71.1,69.1
MP 03: Naamsestraat 62 Taste,2022-02-01 06:40:25.728,61.0,Transport road - Passenger car,61.0%,2,1,6,40,25,728,,
MP 03: Naamsestraat 62 Taste,2022-02-01 08:26:18.671,88.0,Transport road - Passenger car,88.0%,2,1,8,26,18,671,68.7,68.2
MP 03: Naamsestraat 62 Taste,2022-02-01 08:35:14.730,37.0,Transport road - Passenger car,37.0%,2,1,8,35,14,730,68.4,68.0
MP 03: Naamsestraat 62 Taste,2022-02-01 10:29:04.535,96.0,Transport road - Passenger car,96.0%,2,1,10,29,4,535,70.3,68.6
MP 03: Naamsestraat 62 Taste,2022-02-01 14:57:23.566,29.0,Human voice - Shouting,29.0%,2,1,14,57,23,566,71.9,69.4
MP 03: Naamsestraat 62 Taste,2022-02-01 23:49:40.133,42.0,Human voice - Shouting,42.0%,2,1,23,49,40,133,,
MP 03: Naamsestraat 62 Taste,2022-02-01 23:58:55.372,56.0,Transport road - Passenger car,56.0%,2,1,23,58,55,372,,
MP 03: Naamsestraat 62 Taste,2022-02-02 08:02:48.320,37.0,Human voice - Shouting,37.0%,2,2,8,2,48,320,,
MP 03: Naamsestraat 62 Taste,2022-02-02 12:05:58.577,33.0,Transport road - Passenger car,33.0%,2,2,12,5,58,577,70.2,69.2
MP 03: Naamsestraat 62 Taste,2022-02-02 13:02:07.578,77.0,Human voice - Shouting,77.0%,2,2,13,2,7,578,70.4,69.5
MP 03: Naamsestraat 62 Taste,2022-02-02 15:35:03.701,77.0,Human voice - Shouting,77.0%,2,2,15,35,3,701,84.1,78.0
MP 03: Naamsestraat 62 Taste,2022-02-02 15:36:45.716,78.0,Human voice - Shouting,78.0%,2,2,15,36,45,716,77.1,74.0
MP 03: Naamsestraat 62 Taste,2022-02-02 18:22:42.666,77.0,Transport road - Passenger car,77.0%,2,2,18,22,42,666,68.8,68.2
MP 03: Naamsestraat 62 Taste,2022-02-02 21:49:10.936,94.0,Transport road - Passenger car,94.0%,2,2,21,49,10,936,72.8,71.3
MP 03: Naamsestraat 62 Taste,2022-02-03 06:23:34.217,32.0,Human voice - Shouting,32.0%,2,3,6,23,34,217,76.0,73.9
MP 03: Naamsestraat 62 Taste,2022-02-03 06:39:45.219,85.0,Human voice - Shouting,85.0%,2,3,6,39,45,219,69.3,68.5
MP 03: Naamsestraat 62 Taste,2022-02-03 08:18:32.254,82.0,Transport road - Passenger car,82.0%,2,3,8,18,32,254,69.1,68.6
MP 03: Naamsestraat 62 Taste,2022-02-03 08:39:45.277,46.0,Human voice - Shouting,46.0%,2,3,8,39,45,277,71.2,70.1
MP 03: Naamsestraat 62 Taste,2022-02-03 09:28:28.278,77.0,Human voice - Shouting,77.0%,2,3,9,28,28,278,,
MP 03: Naamsestraat 62 Taste,2022-02-03 10:08:17.351,95.0,Transport road - Passenger car,95.0%,2,3,10,8,17,351,,
MP 03: Naamsestraat 62 Taste,2022-02-03 10:34:09.499,76.0,Transport road - Passenger car,76.0%,2,3,10,34,9,499,,
MP 03: Naamsestraat 62 Taste,2022-02-03 11:24:54.372,94.0,Transport road - Passenger car,94.0%,2,3,11,24,54,372,72.6,70.3
MP 03: Naamsestraat 62 Taste,2022-02-03 12:39:50.881,35.0,Transport road - Passenger car,35.0%,2,3,12,39,50,881,72.1,69.9
MP 03: Naamsestraat 62 Taste,2022-02-03 13:11:03.570,98.0,Human voice - Shouting,98.0%,2,3,13,11,3,570,,
MP 03: Naamsestraat 62 Taste,2022-02-03 14:40:39.581,88.0,Transport road - Passenger car,88.0%,2,3,14,40,39,581,,
MP 03: Naamsestraat 62 Taste,2022-02-03 14:50:06.672,81.0,Human voice - Shouting,81.0%,2,3,14,50,6,672,74.8,71.8
MP 03: Naamsestraat 62 Taste,2022-02-03 15:36:26.737,76.0,Human voice - Shouting,76.0%,2,3,15,36,26,737,,
MP 03: Naamsestraat 62 Taste,2022-02-03 17:36:45.581,85.0,Human voice - Shouting,85.0%,2,3,17,36,45,581,70.4,68.0
MP 03: Naamsestraat 62 Taste,2022-02-03 21:30:18.961,51.0,Transport road - Passenger car,51.0%,2,3,21,30,18,961,69.6,68.9
MP 03: Naamsestraat 62 Taste,2022-02-04 06:04:40.311,76.0,Transport road - Passenger car,76.0%,2,4,6,4,40,311,70.8,68.8
MP 03: Naamsestraat 62 Taste,2022-02-04 06:59:59.296,99.0,Transport road - Passenger car,99.0%,2,4,6,59,59,296,84.0,81.4
MP 03: Naamsestraat 62 Taste,2022-02-04 07:39:49.328,53.0,Transport road - Passenger car,53.0%,2,4,7,39,49,328,71.0,69.8
MP 03: Naamsestraat 62 Taste,2022-02-04 07:59:21.337,48.0,Human voice - Shouting,48.0%,2,4,7,59,21,337,70.5,69.0
MP 03: Naamsestraat 62 Taste,2022-02-04 08:57:31.348,70.0,Transport road - Passenger car,70.0%,2,4,8,57,31,348,69.8,68.3
