description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:23:46.162,76.0,Transport road - Passenger car,76.0%,7,1,0,23,46,162,75.5,69.3
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:45:47.166,99.0,Transport road - Passenger car,99.0%,7,1,0,45,47,166,,
MP 01: Naamsestraat 35  Maxim,2022-07-01 00:54:58.168,99.0,Transport road - Passenger car,99.0%,7,1,0,54,58,168,64.8,64.0
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:16:09.174,100.0,Transport road - Passenger car,100.0%,7,1,1,16,9,174,,
MP 01: Naamsestraat 35  Maxim,2022-07-01 01:54:53.183,100.0,Transport road - Passenger car,100.0%,7,1,1,54,53,183,66.1,65.4
MP 01: Naamsestraat 35  Maxim,2022-07-01 02:30:39.191,99.0,Transport road - Passenger car,99.0%,7,1,2,30,39,191,66.8,64.4
MP 01: Naamsestraat 35  Maxim,2022-07-01 03:44:24.210,99.0,Transport road - Passenger car,99.0%,7,1,3,44,24,210,,
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:43:11.221,92.0,Transport road - Passenger car,92.0%,7,1,4,43,11,221,66.5,65.0
MP 01: Naamsestraat 35  Maxim,2022-07-01 04:48:25.223,0.0,Unsupported,0.0%,7,1,4,48,25,223,,
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:07:40.238,98.0,Transport road - Passenger car,98.0%,7,1,6,7,40,238,68.9,67.3
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:20:52.242,99.0,Transport road - Passenger car,99.0%,7,1,6,20,52,242,67.4,66.2
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:31:40.246,98.0,Transport road - Passenger car,98.0%,7,1,6,31,40,246,67.7,66.8
MP 01: Naamsestraat 35  Maxim,2022-07-01 06:37:53.247,100.0,Transport road - Passenger car,100.0%,7,1,6,37,53,247,69.6,68.3
