description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-06-01 00:03:43.915,,,,6,1,0,3,43,915,65.5,64.7
MP 01: Naamsestraat 35  Maxim,2022-06-01 00:34:04.922,,,,6,1,0,34,4,922,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 01:23:42.931,,,,6,1,1,23,42,931,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 01:45:27.935,,,,6,1,1,45,27,935,77.5,75.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 01:46:02.935,,,,6,1,1,46,2,935,69.5,65.8
MP 01: Naamsestraat 35  Maxim,2022-06-01 01:46:13.935,,,,6,1,1,46,13,935,86.5,85.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 01:53:39.936,,,,6,1,1,53,39,936,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 02:08:01.938,,,,6,1,2,8,1,938,67.5,66.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 02:24:34.941,,,,6,1,2,24,34,941,66.1,65.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 05:50:38.548,,,,6,1,5,50,38,548,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 05:52:57.549,,,,6,1,5,52,57,549,64.7,64.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 05:53:20.549,,,,6,1,5,53,20,549,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 06:20:22.553,,,,6,1,6,20,22,553,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 06:20:53.553,,,,6,1,6,20,53,553,69.1,67.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 06:41:25.556,,,,6,1,6,41,25,556,67.2,66.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 07:07:13.560,,,,6,1,7,7,13,560,64.9,64.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 07:20:47.563,,,,6,1,7,20,47,563,66.3,65.4
MP 01: Naamsestraat 35  Maxim,2022-06-01 07:34:30.564,,,,6,1,7,34,30,564,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 07:40:29.565,,,,6,1,7,40,29,565,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 07:47:07.566,,,,6,1,7,47,7,566,72.8,68.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:25:37.573,,,,6,1,8,25,37,573,67.7,66.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:26:32.573,,,,6,1,8,26,32,573,65.0,64.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:33:13.574,,,,6,1,8,33,13,574,66.3,65.1
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:39:22.576,,,,6,1,8,39,22,576,69.2,67.8
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:39:44.576,,,,6,1,8,39,44,576,66.0,65.1
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:40:34.576,,,,6,1,8,40,34,576,67.9,66.8
MP 01: Naamsestraat 35  Maxim,2022-06-01 08:55:01.577,,,,6,1,8,55,1,577,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 09:08:57.580,,,,6,1,9,8,57,580,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 09:13:56.582,,,,6,1,9,13,56,582,65.0,64.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 09:30:31.585,,,,6,1,9,30,31,585,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 09:38:04.586,,,,6,1,9,38,4,586,65.8,65.1
MP 01: Naamsestraat 35  Maxim,2022-06-01 09:44:18.587,,,,6,1,9,44,18,587,66.0,65.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:04:08.591,,,,6,1,10,4,8,591,65.2,64.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:10:23.592,,,,6,1,10,10,23,592,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:14:10.594,,,,6,1,10,14,10,594,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:16:15.595,,,,6,1,10,16,15,595,66.8,65.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:29:04.595,,,,6,1,10,29,4,595,64.9,64.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:29:41.595,,,,6,1,10,29,41,595,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:31:12.596,,,,6,1,10,31,12,596,66.7,65.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 10:55:08.602,,,,6,1,10,55,8,602,65.0,64.6
MP 01: Naamsestraat 35  Maxim,2022-06-01 11:11:54.607,,,,6,1,11,11,54,607,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 11:14:23.607,,,,6,1,11,14,23,607,71.0,68.9
MP 01: Naamsestraat 35  Maxim,2022-06-01 11:41:21.613,,,,6,1,11,41,21,613,70.6,67.1
MP 01: Naamsestraat 35  Maxim,2022-06-01 11:48:34.615,,,,6,1,11,48,34,615,70.4,68.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:01:07.619,,,,6,1,12,1,7,619,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:09:31.620,,,,6,1,12,9,31,620,69.5,66.6
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:13:18.621,,,,6,1,12,13,18,621,67.7,65.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:23:05.623,,,,6,1,12,23,5,623,65.6,64.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:34:09.625,,,,6,1,12,34,9,625,67.2,66.2
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:40:54.627,,,,6,1,12,40,54,627,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:41:36.628,,,,6,1,12,41,36,628,72.6,67.7
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:44:59.628,,,,6,1,12,44,59,628,65.9,64.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:49:39.628,,,,6,1,12,49,39,628,67.9,66.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:52:14.630,,,,6,1,12,52,14,630,73.6,72.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:52:27.630,,,,6,1,12,52,27,630,70.7,68.4
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:52:38.630,,,,6,1,12,52,38,630,74.5,70.0
MP 01: Naamsestraat 35  Maxim,2022-06-01 12:52:45.630,,,,6,1,12,52,45,630,64.9,64.1
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:09:56.634,,,,6,1,13,9,56,634,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:23:47.637,,,,6,1,13,23,47,637,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:25:50.638,,,,6,1,13,25,50,638,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:30:33.639,,,,6,1,13,30,33,639,68.8,67.3
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:30:45.639,,,,6,1,13,30,45,639,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 13:39:09.641,,,,6,1,13,39,9,641,65.5,64.5
MP 01: Naamsestraat 35  Maxim,2022-06-01 14:08:39.323,,,,6,1,14,8,39,323,66.4,65.7
MP 01: Naamsestraat 35  Maxim,2022-06-01 14:24:16.327,,,,6,1,14,24,16,327,66.7,65.8
MP 01: Naamsestraat 35  Maxim,2022-06-01 14:28:34.328,,,,6,1,14,28,34,328,67.7,66.7
MP 01: Naamsestraat 35  Maxim,2022-06-01 14:30:13.329,,,,6,1,14,30,13,329,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 14:53:43.334,,,,6,1,14,53,43,334,66.6,65.8
MP 01: Naamsestraat 35  Maxim,2022-06-01 15:00:02.336,,,,6,1,15,0,2,336,67.5,66.7
MP 01: Naamsestraat 35  Maxim,2022-06-01 15:00:21.337,,,,6,1,15,0,21,337,,
MP 01: Naamsestraat 35  Maxim,2022-06-01 15:35:55.960,82.0,Transport road - Passenger car,82.0%,6,1,15,35,55,960,66.1,64.5
