description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:14:52.835,100.0,Transport road - Passenger car,100.0%,11,2,10,14,52,835,64.8,64.1
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:20:30.837,0.0,Unsupported,0.0%,11,2,10,20,30,837,74.5,67.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:33:00.840,79.0,Transport road - Passenger car,79.0%,11,2,10,33,0,840,68.8,66.5
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:36:26.841,95.0,Transport road - Passenger car,95.0%,11,2,10,36,26,841,65.5,64.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 10:42:15.843,0.0,Unsupported,0.0%,11,2,10,42,15,843,82.8,77.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:06:28.850,97.0,Transport road - Passenger car,97.0%,11,2,11,6,28,850,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:34:44.858,99.0,Transport road - Passenger car,99.0%,11,2,11,34,44,858,66.4,65.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 11:48:56.863,97.0,Transport road - Passenger car,97.0%,11,2,11,48,56,863,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:03:51.867,0.0,Unsupported,0.0%,11,2,12,3,51,867,66.2,65.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:16:40.870,100.0,Transport road - Passenger car,100.0%,11,2,12,16,40,870,66.4,64.7
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:41:54.879,95.0,Transport road - Passenger car,95.0%,11,2,12,41,54,879,65.4,64.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 12:56:44.884,99.0,Transport road - Passenger car,99.0%,11,2,12,56,44,884,68.9,67.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:09:53.889,0.0,Unsupported,0.0%,11,2,13,9,53,889,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:37:27.898,92.0,Transport road - Passenger car,92.0%,11,2,13,37,27,898,66.4,65.1
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:45:24.901,100.0,Transport road - Passenger car,100.0%,11,2,13,45,24,901,65.9,64.7
MP 01: Naamsestraat 35  Maxim,2022-11-02 13:48:26.902,100.0,Transport road - Passenger car,100.0%,11,2,13,48,26,902,66.8,65.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:05:02.908,96.0,Transport road - Passenger car,96.0%,11,2,14,5,2,908,68.9,66.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:32:04.917,99.0,Human voice - Shouting,99.0%,11,2,14,32,4,917,71.5,66.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:32:22.917,0.0,Unsupported,0.0%,11,2,14,32,22,917,70.1,64.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 14:33:08.918,100.0,Human voice - Shouting,100.0%,11,2,14,33,8,918,76.7,72.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:06:22.929,99.0,Transport road - Passenger car,99.0%,11,2,15,6,22,929,69.4,67.9
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:25:48.935,100.0,Transport road - Passenger car,100.0%,11,2,15,25,48,935,68.7,65.9
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:42:05.940,81.0,Transport road - Passenger car,81.0%,11,2,15,42,5,940,65.8,64.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:42:35.940,100.0,Transport road - Passenger car,100.0%,11,2,15,42,35,940,66.8,65.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 15:59:27.945,93.0,Transport road - Passenger car,93.0%,11,2,15,59,27,945,66.6,65.4
MP 01: Naamsestraat 35  Maxim,2022-11-02 16:15:54.949,95.0,Transport road - Passenger car,95.0%,11,2,16,15,54,949,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 16:17:21.950,91.0,Transport road - Passenger car,91.0%,11,2,16,17,21,950,76.7,76.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 16:18:37.951,96.0,Transport road - Passenger car,96.0%,11,2,16,18,37,951,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 16:19:18.950,84.0,Transport road - Passenger car,84.0%,11,2,16,19,18,950,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:00:36.962,100.0,Transport road - Passenger car,100.0%,11,2,17,0,36,962,67.9,66.4
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:11:00.964,96.0,Transport road - Passenger car,96.0%,11,2,17,11,0,964,65.8,64.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:30:59.970,100.0,Transport road - Passenger car,100.0%,11,2,17,30,59,970,66.9,65.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:34:13.971,100.0,Transport road - Passenger car,100.0%,11,2,17,34,13,971,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:52:11.975,0.0,Unsupported,0.0%,11,2,17,52,11,975,68.5,67.1
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:53:33.976,100.0,Transport road - Passenger car,100.0%,11,2,17,53,33,976,68.0,66.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 17:53:50.976,100.0,Transport road - Passenger car,100.0%,11,2,17,53,50,976,65.9,64.7
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:12:03.980,99.0,Transport road - Passenger car,99.0%,11,2,18,12,3,980,66.8,65.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:17:39.982,82.0,Transport road - Passenger car,82.0%,11,2,18,17,39,982,67.7,66.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:21:20.983,100.0,Transport road - Passenger car,100.0%,11,2,18,21,20,983,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:31:08.985,100.0,Transport road - Passenger car,100.0%,11,2,18,31,8,985,67.7,66.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:37:43.986,100.0,Transport road - Passenger car,100.0%,11,2,18,37,43,986,67.1,66.4
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:41:39.988,98.0,Transport road - Passenger car,98.0%,11,2,18,41,39,988,70.7,67.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 18:54:17.990,0.0,Unsupported,0.0%,11,2,18,54,17,990,66.2,64.4
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:18:44.996,99.0,Transport road - Passenger car,99.0%,11,2,19,18,44,996,66.7,64.9
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:28:21.998,100.0,Transport road - Passenger car,100.0%,11,2,19,28,21,998,67.6,66.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:33:13.999,100.0,Transport road - Passenger car,100.0%,11,2,19,33,13,999,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:41:15.200,100.0,Transport road - Passenger car,100.0%,11,2,19,41,15,200,69.0,67.7
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:41:26.200,100.0,Transport road - Passenger car,100.0%,11,2,19,41,26,200,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:46:29.300,0.0,Unsupported,0.0%,11,2,19,46,29,300,76.2,73.7
MP 01: Naamsestraat 35  Maxim,2022-11-02 19:59:41.700,0.0,Unsupported,0.0%,11,2,19,59,41,700,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 20:20:24.110,100.0,Transport road - Passenger car,100.0%,11,2,20,20,24,110,67.4,65.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 20:26:20.130,96.0,Transport road - Passenger car,96.0%,11,2,20,26,20,130,66.3,64.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:04:38.210,100.0,Transport road - Passenger car,100.0%,11,2,21,4,38,210,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:08:42.230,100.0,Transport road - Passenger car,100.0%,11,2,21,8,42,230,67.3,65.3
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:18:31.250,99.0,Transport road - Passenger car,99.0%,11,2,21,18,31,250,65.3,64.1
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:20:54.250,100.0,Transport road - Passenger car,100.0%,11,2,21,20,54,250,66.8,65.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:38:20.290,0.0,Unsupported,0.0%,11,2,21,38,20,290,84.2,79.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:50:59.330,100.0,Transport road - Passenger car,100.0%,11,2,21,50,59,330,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 21:58:02.350,100.0,Transport road - Passenger car,100.0%,11,2,21,58,2,350,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 22:52:34.470,100.0,Transport road - Passenger car,100.0%,11,2,22,52,34,470,65.8,64.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:06:48.500,0.0,Unsupported,0.0%,11,2,23,6,48,500,68.1,66.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:07:08.510,0.0,Unsupported,0.0%,11,2,23,7,8,510,78.8,76.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:07:47.510,0.0,Unsupported,0.0%,11,2,23,7,47,510,77.7,74.0
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:09:53.510,0.0,Unsupported,0.0%,11,2,23,9,53,510,68.5,64.1
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:10:19.520,0.0,Unsupported,0.0%,11,2,23,10,19,520,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:11:04.520,0.0,Unsupported,0.0%,11,2,23,11,4,520,68.8,65.6
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:11:53.520,0.0,Unsupported,0.0%,11,2,23,11,53,520,71.6,65.4
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:37:58.570,0.0,Unsupported,0.0%,11,2,23,37,58,570,,
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:39:39.580,100.0,Human voice - Shouting,100.0%,11,2,23,39,39,580,67.3,64.2
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:45:52.600,98.0,Transport road - Passenger car,98.0%,11,2,23,45,52,600,70.1,68.8
MP 01: Naamsestraat 35  Maxim,2022-11-02 23:48:45.600,98.0,Transport road - Passenger car,98.0%,11,2,23,48,45,600,68.1,66.8
MP 01: Naamsestraat 35  Maxim,2022-11-03 00:02:10.640,78.0,Transport road - Passenger car,78.0%,11,3,0,2,10,640,65.7,65.0
MP 01: Naamsestraat 35  Maxim,2022-11-03 00:12:39.660,90.0,Transport road - Passenger car,90.0%,11,3,0,12,39,660,67.9,66.1
MP 01: Naamsestraat 35  Maxim,2022-11-03 00:15:40.660,88.0,Human voice - Shouting,88.0%,11,3,0,15,40,660,,
