description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-10-01 00:13:05.578,100.0,Transport road - Passenger car,100.0%,10,1,0,13,5,578,66.0,65.4
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:00:04.589,100.0,Human voice - Shouting,100.0%,10,1,1,0,4,589,72.3,68.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:01:19.590,100.0,Human voice - Shouting,100.0%,10,1,1,1,19,590,74.8,69.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:01:27.590,0.0,Unsupported,0.0%,10,1,1,1,27,590,77.9,74.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:03:06.590,87.0,Human voice - Shouting,87.0%,10,1,1,3,6,590,70.5,67.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:03:45.591,99.0,Human voice - Shouting,99.0%,10,1,1,3,45,591,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:24:14.594,100.0,Transport road - Passenger car,100.0%,10,1,1,24,14,594,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 01:30:09.596,0.0,Unsupported,0.0%,10,1,1,30,9,596,65.8,64.4
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:07:34.603,100.0,Transport road - Passenger car,100.0%,10,1,2,7,34,603,66.8,65.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 02:26:15.607,100.0,Human voice - Shouting,100.0%,10,1,2,26,15,607,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 04:36:23.635,93.0,Transport road - Passenger car,93.0%,10,1,4,36,23,635,65.9,64.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:03:30.640,99.0,Human voice - Shouting,99.0%,10,1,5,3,30,640,77.5,74.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:30:23.645,98.0,Transport road - Passenger car,98.0%,10,1,5,30,23,645,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 05:35:28.646,100.0,Transport road - Passenger car,100.0%,10,1,5,35,28,646,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 07:14:41.669,99.0,Transport road - Passenger car,99.0%,10,1,7,14,41,669,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 07:18:47.669,98.0,Transport road - Passenger car,98.0%,10,1,7,18,47,669,66.3,65.1
MP 01: Naamsestraat 35  Maxim,2022-10-01 07:46:12.676,87.0,Transport road - Passenger car,87.0%,10,1,7,46,12,676,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 07:57:58.678,98.0,Transport road - Passenger car,98.0%,10,1,7,57,58,678,68.6,67.4
MP 01: Naamsestraat 35  Maxim,2022-10-01 08:01:25.677,100.0,Transport road - Passenger car,100.0%,10,1,8,1,25,677,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 08:04:09.679,91.0,Transport road - Passenger car,91.0%,10,1,8,4,9,679,69.6,67.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 08:44:42.689,97.0,Transport road - Passenger car,97.0%,10,1,8,44,42,689,65.9,65.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 09:17:39.697,100.0,Transport road - Passenger car,100.0%,10,1,9,17,39,697,67.1,66.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 09:24:22.699,93.0,Transport road - Passenger car,93.0%,10,1,9,24,22,699,69.1,67.1
MP 01: Naamsestraat 35  Maxim,2022-10-01 09:35:21.701,98.0,Transport road - Passenger car,98.0%,10,1,9,35,21,701,67.5,66.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 09:46:45.703,98.0,Transport road - Passenger car,98.0%,10,1,9,46,45,703,65.2,64.1
MP 01: Naamsestraat 35  Maxim,2022-10-01 09:49:14.704,0.0,Unsupported,0.0%,10,1,9,49,14,704,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:00:56.708,99.0,Transport road - Passenger car,99.0%,10,1,10,0,56,708,68.5,67.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:23:49.713,99.0,Transport road - Passenger car,99.0%,10,1,10,23,49,713,65.7,64.7
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:27:24.714,97.0,Transport road - Passenger car,97.0%,10,1,10,27,24,714,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:43:03.719,98.0,Transport road - Passenger car,98.0%,10,1,10,43,3,719,67.0,65.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:46:59.720,99.0,Transport road - Passenger car,99.0%,10,1,10,46,59,720,67.2,66.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:53:15.721,86.0,Transport road - Passenger car,86.0%,10,1,10,53,15,721,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 10:54:18.722,99.0,Transport road - Passenger car,99.0%,10,1,10,54,18,722,68.0,66.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 11:23:09.728,97.0,Transport road - Passenger car,97.0%,10,1,11,23,9,728,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 11:56:57.738,0.0,Unsupported,0.0%,10,1,11,56,57,738,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 11:58:30.739,84.0,Transport road - Passenger car,84.0%,10,1,11,58,30,739,67.5,66.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 12:09:32.742,100.0,Transport road - Passenger car,100.0%,10,1,12,9,32,742,67.0,66.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 12:28:36.748,92.0,Transport road - Passenger car,92.0%,10,1,12,28,36,748,66.2,65.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 12:46:53.753,83.0,Transport road - Passenger car,83.0%,10,1,12,46,53,753,66.7,65.7
MP 01: Naamsestraat 35  Maxim,2022-10-01 13:57:12.774,85.0,Transport road - Passenger car,85.0%,10,1,13,57,12,774,68.8,67.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 13:59:15.774,100.0,Transport road - Passenger car,100.0%,10,1,13,59,15,774,65.6,64.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 14:20:46.781,100.0,Transport road - Passenger car,100.0%,10,1,14,20,46,781,68.6,66.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 14:44:07.787,0.0,Unsupported,0.0%,10,1,14,44,7,787,69.5,68.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 14:49:57.789,100.0,Transport road - Passenger car,100.0%,10,1,14,49,57,789,67.6,66.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 14:53:15.789,0.0,Unsupported,0.0%,10,1,14,53,15,789,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 14:55:01.791,100.0,Human voice - Shouting,100.0%,10,1,14,55,1,791,74.1,68.8
MP 01: Naamsestraat 35  Maxim,2022-10-01 15:41:19.803,99.0,Transport road - Passenger car,99.0%,10,1,15,41,19,803,68.9,66.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 16:08:35.812,100.0,Transport road - Passenger car,100.0%,10,1,16,8,35,812,69.1,67.5
MP 01: Naamsestraat 35  Maxim,2022-10-01 17:29:41.835,100.0,Transport road - Passenger car,100.0%,10,1,17,29,41,835,68.7,67.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 17:41:06.840,97.0,Transport road - Passenger car,97.0%,10,1,17,41,6,840,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 17:47:45.840,100.0,Transport road - Passenger car,100.0%,10,1,17,47,45,840,67.1,66.0
MP 01: Naamsestraat 35  Maxim,2022-10-01 18:20:30.849,100.0,Transport road - Passenger car,100.0%,10,1,18,20,30,849,65.3,64.5
MP 01: Naamsestraat 35  Maxim,2022-10-01 18:27:36.851,86.0,Transport road - Passenger car,86.0%,10,1,18,27,36,851,67.3,66.1
MP 01: Naamsestraat 35  Maxim,2022-10-01 18:37:48.853,100.0,Human voice - Shouting,100.0%,10,1,18,37,48,853,84.2,80.5
MP 01: Naamsestraat 35  Maxim,2022-10-01 18:53:40.859,98.0,Transport road - Passenger car,98.0%,10,1,18,53,40,859,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:03:04.861,99.0,Transport road - Passenger car,99.0%,10,1,19,3,4,861,67.5,65.4
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:20:15.866,0.0,Unsupported,0.0%,10,1,19,20,15,866,67.4,66.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:20:41.866,82.0,Transport road - Passenger car,82.0%,10,1,19,20,41,866,73.0,70.5
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:24:37.867,99.0,Transport road - Passenger car,99.0%,10,1,19,24,37,867,68.2,66.7
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:39:37.871,100.0,Transport road - Passenger car,100.0%,10,1,19,39,37,871,65.1,64.3
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:42:06.872,100.0,Transport road - Passenger car,100.0%,10,1,19,42,6,872,66.0,64.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:48:51.874,84.0,Transport road - Passenger car,84.0%,10,1,19,48,51,874,65.0,64.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:49:36.873,95.0,Transport road - Passenger car,95.0%,10,1,19,49,36,873,,
MP 01: Naamsestraat 35  Maxim,2022-10-01 19:53:15.875,100.0,Transport road - Passenger car,100.0%,10,1,19,53,15,875,68.3,66.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 20:08:17.878,100.0,Human voice - Shouting,100.0%,10,1,20,8,17,878,74.0,70.6
MP 01: Naamsestraat 35  Maxim,2022-10-01 20:12:50.881,100.0,Transport road - Passenger car,100.0%,10,1,20,12,50,881,68.7,66.2
MP 01: Naamsestraat 35  Maxim,2022-10-01 20:25:43.884,100.0,Transport road - Passenger car,100.0%,10,1,20,25,43,884,65.6,64.9
MP 01: Naamsestraat 35  Maxim,2022-10-01 20:27:45.884,100.0,Transport road - Passenger car,100.0%,10,1,20,27,45,884,69.5,67.5
