description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:25:42.664,100.0,Transport road - Passenger car,100.0%,9,1,0,25,42,664,67.2,65.9
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:38:50.668,96.0,Transport road - Passenger car,96.0%,9,1,0,38,50,668,67.9,66.0
MP 01: Naamsestraat 35  Maxim,2022-09-01 00:39:32.668,100.0,Transport road - Passenger car,100.0%,9,1,0,39,32,668,65.3,64.4
MP 01: Naamsestraat 35  Maxim,2022-09-01 01:57:50.692,100.0,Transport road - Passenger car,100.0%,9,1,1,57,50,692,67.7,65.8
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:03:06.694,100.0,Transport road - Passenger car,100.0%,9,1,2,3,6,694,66.6,64.1
MP 01: Naamsestraat 35  Maxim,2022-09-01 02:50:24.710,100.0,Transport road - Passenger car,100.0%,9,1,2,50,24,710,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 03:37:00.722,83.0,Transport road - Passenger car,83.0%,9,1,3,37,0,722,73.0,67.9
MP 01: Naamsestraat 35  Maxim,2022-09-01 05:32:12.756,100.0,Transport road - Passenger car,100.0%,9,1,5,32,12,756,67.6,66.0
MP 01: Naamsestraat 35  Maxim,2022-09-01 06:17:17.769,0.0,Unsupported,0.0%,9,1,6,17,17,769,66.8,65.4
MP 01: Naamsestraat 35  Maxim,2022-09-01 06:29:04.772,100.0,Transport road - Passenger car,100.0%,9,1,6,29,4,772,68.4,67.4
MP 01: Naamsestraat 35  Maxim,2022-09-01 06:32:32.773,100.0,Transport road - Passenger car,100.0%,9,1,6,32,32,773,68.1,66.2
MP 01: Naamsestraat 35  Maxim,2022-09-01 06:41:38.776,97.0,Transport road - Passenger car,97.0%,9,1,6,41,38,776,66.1,64.4
MP 01: Naamsestraat 35  Maxim,2022-09-01 06:45:10.777,99.0,Transport road - Passenger car,99.0%,9,1,6,45,10,777,67.2,66.3
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:12:02.784,100.0,Transport road - Passenger car,100.0%,9,1,7,12,2,784,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:15:34.786,83.0,Transport road - Passenger car,83.0%,9,1,7,15,34,786,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:34:17.791,88.0,Transport road - Passenger car,88.0%,9,1,7,34,17,791,66.6,65.5
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:37:30.792,88.0,Transport road - Passenger car,88.0%,9,1,7,37,30,792,64.6,64.1
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:37:48.791,83.0,Transport road - Passenger car,83.0%,9,1,7,37,48,791,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:40:27.792,100.0,Transport road - Passenger car,100.0%,9,1,7,40,27,792,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:43:22.794,99.0,Transport road - Passenger car,99.0%,9,1,7,43,22,794,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:45:25.794,0.0,Unsupported,0.0%,9,1,7,45,25,794,68.5,67.2
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:48:37.794,100.0,Transport road - Passenger car,100.0%,9,1,7,48,37,794,,
MP 01: Naamsestraat 35  Maxim,2022-09-01 07:50:10.795,78.0,Transport road - Passenger car,78.0%,9,1,7,50,10,795,69.2,67.4
MP 01: Naamsestraat 35  Maxim,2022-09-01 08:06:21.800,100.0,Transport road - Passenger car,100.0%,9,1,8,6,21,800,65.9,64.8
