month,day,description,lamax,laeq
1,1,MP 03: Naamsestraat 62 Taste,51.66524189814815,49.99263657407407
1,1,MP 05: Calvariekapel KU Leuven,48.747475636010094,46.50406722377833
1,1,MP 06: Parkstraat 2 La Filosovia,48.270004629629625,46.0072199074074
1,1,MP 07: Naamsestraat 81,45.908501354198016,44.373056089261325
1,2,MP 03: Naamsestraat 62 Taste,51.4072966493323,50.094017905745815
1,2,MP 05: Calvariekapel KU Leuven,47.95905653165935,46.29793145782421
1,2,MP 06: Parkstraat 2 La Filosovia,46.79485528312158,45.0855792728831
1,2,MP 07: Naamsestraat 81,45.84608756080612,44.65338545286078
1,3,MP 03: Naamsestraat 62 Taste,53.21336936770102,51.830319795368
1,3,MP 05: Calvariekapel KU Leuven,50.14753009259259,48.66018402777778
1,3,MP 06: Parkstraat 2 La Filosovia,49.6336763156981,48.03521337052512
1,3,MP 07: Naamsestraat 81,48.756939814814814,47.57414351851852
1,4,MP 03: Naamsestraat 62 Taste,53.49949189814814,52.079018518518524
1,4,MP 05: Calvariekapel KU Leuven,50.54143797960625,48.80547575782127
1,4,MP 06: Parkstraat 2 La Filosovia,49.79419791666667,48.186160879629625
1,4,MP 07: Naamsestraat 81,49.582199074074076,48.295775462962965
1,5,MP 03: Naamsestraat 62 Taste,52.90646180555555,51.50544328703703
1,5,MP 05: Calvariekapel KU Leuven,49.648748842592596,48.14356018518519
1,5,MP 06: Parkstraat 2 La Filosovia,49.25216435185185,47.535864583333336
1,5,MP 07: Naamsestraat 81,48.06493865740741,46.746553240740745
1,6,MP 03: Naamsestraat 62 Taste,54.079946527158874,52.71082535677496
1,6,MP 05: Calvariekapel KU Leuven,49.81469924420422,48.175055266843366
1,6,MP 06: Parkstraat 2 La Filosovia,49.207559027777776,47.44976041666666
1,6,MP 07: Naamsestraat 81,48.20806490815866,46.92855588606349
1,7,MP 03: Naamsestraat 62 Taste,53.82398920896628,52.44381599666543
1,7,MP 05: Calvariekapel KU Leuven,51.21043658418019,49.51405472348897
1,7,MP 06: Parkstraat 2 La Filosovia,50.457028935185186,48.75929976851852
1,7,MP 07: Naamsestraat 81,49.753456637229604,48.48692808944548
1,8,MP 03: Naamsestraat 62 Taste,53.05715972768953,51.66026258509702
1,8,MP 05: Calvariekapel KU Leuven,50.322100694444444,48.61641203703704
1,8,MP 06: Parkstraat 2 La Filosovia,49.690703703703704,47.88179861111111
1,8,MP 07: Naamsestraat 81,48.46135532407408,47.31840509259259
1,9,MP 03: Naamsestraat 62 Taste,52.15087642063557,50.71692829917629
1,9,MP 05: Calvariekapel KU Leuven,48.685593749999995,46.90431712962963
1,9,MP 06: Parkstraat 2 La Filosovia,47.71953147605875,45.9360027315131
1,9,MP 07: Naamsestraat 81,46.89307175925926,45.54579282407408
1,10,MP 03: Naamsestraat 62 Taste,52.810841783581054,51.38917789507802
1,10,MP 05: Calvariekapel KU Leuven,49.92377397363334,48.11617880250472
1,10,MP 06: Parkstraat 2 La Filosovia,49.58696844834372,47.80659043033403
1,10,MP 07: Naamsestraat 81,48.10083796296296,46.892212962962965
1,11,MP 03: Naamsestraat 62 Taste,53.23357203276903,51.824553597293196
1,11,MP 05: Calvariekapel KU Leuven,50.684709490740744,48.94465046296296
1,11,MP 06: Parkstraat 2 La Filosovia,50.08703819444444,48.30732638888889
1,11,MP 07: Naamsestraat 81,48.683596064814814,47.478658564814815
1,12,MP 03: Naamsestraat 62 Taste,53.43261614711196,52.00471768030016
1,12,MP 05: Calvariekapel KU Leuven,50.569657056215924,48.70342017847429
1,12,MP 06: Parkstraat 2 La Filosovia,50.34115277777777,48.47195601851852
1,12,MP 07: Naamsestraat 81,49.417341435185186,48.08020833333333
1,13,MP 03: Naamsestraat 62 Taste,53.75165972222223,52.344765046296295
1,13,MP 05: Calvariekapel KU Leuven,51.002366898148146,49.20383101851852
1,13,MP 06: Parkstraat 2 La Filosovia,51.48068055555555,49.68713657407407
1,13,MP 07: Naamsestraat 81,51.03495682770435,49.84718859232853
1,14,MP 03: Naamsestraat 62 Taste,54.6969959367005,53.16031858120232
1,14,MP 05: Calvariekapel KU Leuven,52.18064168894754,50.22335960739377
1,14,MP 06: Parkstraat 2 La Filosovia,51.717,49.88200694444445
1,14,MP 07: Naamsestraat 81,50.57171064814815,49.34824768518518
1,15,MP 03: Naamsestraat 62 Taste,52.97951264687156,51.46926202465706
1,15,MP 05: Calvariekapel KU Leuven,49.78839699074074,47.79609490740741
1,15,MP 06: Parkstraat 2 La Filosovia,49.56334332573294,47.62289494091367
1,15,MP 07: Naamsestraat 81,47.893369136216855,46.577893262653504
1,16,MP 03: Naamsestraat 62 Taste,51.71522916666667,50.25948611111111
1,16,MP 05: Calvariekapel KU Leuven,48.306524381069224,46.457791178138635
