description,result_timestamp,noise_event_laeq_primary_detected_certainty,noise_event_laeq_primary_detected_class,certainty_percentage,month,day,hour,minute,second,milliseconds,lamax,laeq
MP 01: Naamsestraat 35  Maxim,2022-05-01 01:14:38.441,0.0,Unsupported,0.0%,5,1,1,14,38,441,,
MP 01: Naamsestraat 35  Maxim,2022-05-01 03:52:50.467,97.0,Transport road - Passenger car,97.0%,5,1,3,52,50,467,71.4,68.2
MP 01: Naamsestraat 35  Maxim,2022-05-01 08:23:25.636,98.0,Transport road - Passenger car,98.0%,5,1,8,23,25,636,70.4,69.2
MP 01: Naamsestraat 35  Maxim,2022-05-01 09:33:58.648,0.0,Unsupported,0.0%,5,1,9,33,58,648,72.7,71.0
MP 01: Naamsestraat 35  Maxim,2022-05-01 13:04:54.694,0.0,Unsupported,0.0%,5,1,13,4,54,694,69.7,68.6
MP 01: Naamsestraat 35  Maxim,2022-05-01 17:35:49.769,90.0,Transport road - Passenger car,90.0%,5,1,17,35,49,769,,
MP 01: Naamsestraat 35  Maxim,2022-05-01 17:57:18.776,0.0,Unsupported,0.0%,5,1,17,57,18,776,70.9,69.2
MP 01: Naamsestraat 35  Maxim,2022-05-01 19:03:45.794,92.0,Transport road - Passenger car,92.0%,5,1,19,3,45,794,69.1,67.4
MP 01: Naamsestraat 35  Maxim,2022-05-01 19:16:02.797,100.0,Transport road - Passenger car,100.0%,5,1,19,16,2,797,69.4,67.6
MP 01: Naamsestraat 35  Maxim,2022-05-01 19:58:11.808,77.0,Transport road - Passenger car,77.0%,5,1,19,58,11,808,69.1,68.2
MP 01: Naamsestraat 35  Maxim,2022-05-01 22:28:42.346,100.0,Transport road - Passenger car,100.0%,5,1,22,28,42,346,69.6,68.1
MP 01: Naamsestraat 35  Maxim,2022-05-01 23:02:36.352,76.0,Transport road - Passenger car,76.0%,5,1,23,2,36,352,,
MP 01: Naamsestraat 35  Maxim,2022-05-01 23:53:36.716,98.0,Human voice - Shouting,98.0%,5,1,23,53,36,716,75.7,72.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 00:18:06.722,83.0,Human voice - Singing,83.0%,5,2,0,18,6,722,75.5,68.6
MP 01: Naamsestraat 35  Maxim,2022-05-02 01:13:29.785,99.0,Human voice - Shouting,99.0%,5,2,1,13,29,785,,
MP 01: Naamsestraat 35  Maxim,2022-05-02 04:17:27.823,87.0,Human voice - Shouting,87.0%,5,2,4,17,27,823,75.2,72.9
MP 01: Naamsestraat 35  Maxim,2022-05-02 04:21:00.824,0.0,Unsupported,0.0%,5,2,4,21,0,824,73.3,70.8
MP 01: Naamsestraat 35  Maxim,2022-05-02 04:45:47.828,94.0,Human voice - Shouting,94.0%,5,2,4,45,47,828,70.2,68.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 04:53:04.830,0.0,Unsupported,0.0%,5,2,4,53,4,830,,
MP 01: Naamsestraat 35  Maxim,2022-05-02 06:20:13.847,97.0,Transport road - Passenger car,97.0%,5,2,6,20,13,847,69.4,68.2
MP 01: Naamsestraat 35  Maxim,2022-05-02 06:20:40.847,85.0,Transport road - Passenger car,85.0%,5,2,6,20,40,847,76.4,71.4
MP 01: Naamsestraat 35  Maxim,2022-05-02 06:47:24.851,96.0,Transport road - Passenger car,96.0%,5,2,6,47,24,851,,
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:17:16.858,96.0,Transport road - Passenger car,96.0%,5,2,7,17,16,858,70.7,69.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:19:39.858,99.0,Transport road - Passenger car,99.0%,5,2,7,19,39,858,74.2,71.7
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:21:54.858,100.0,Transport road - Passenger car,100.0%,5,2,7,21,54,858,68.7,67.9
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:29:49.860,85.0,Transport road - Passenger car,85.0%,5,2,7,29,49,860,69.1,68.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:46:39.863,99.0,Transport road - Passenger car,99.0%,5,2,7,46,39,863,70.9,69.5
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:49:08.863,87.0,Transport road - Passenger car,87.0%,5,2,7,49,8,863,71.8,69.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:52:51.865,100.0,Transport road - Passenger car,100.0%,5,2,7,52,51,865,,
MP 01: Naamsestraat 35  Maxim,2022-05-02 07:58:43.865,85.0,Transport road - Passenger car,85.0%,5,2,7,58,43,865,69.6,68.6
MP 01: Naamsestraat 35  Maxim,2022-05-02 08:32:47.872,100.0,Transport road - Passenger car,100.0%,5,2,8,32,47,872,68.5,68.0
MP 01: Naamsestraat 35  Maxim,2022-05-02 09:13:35.879,89.0,Transport road - Passenger car,89.0%,5,2,9,13,35,879,68.2,67.3
MP 01: Naamsestraat 35  Maxim,2022-05-02 10:45:15.899,0.0,Unsupported,0.0%,5,2,10,45,15,899,,
MP 01: Naamsestraat 35  Maxim,2022-05-02 10:55:21.902,99.0,Transport road - Passenger car,99.0%,5,2,10,55,21,902,69.6,68.5
MP 01: Naamsestraat 35  Maxim,2022-05-02 12:58:14.436,87.0,Transport road - Passenger car,87.0%,5,2,12,58,14,436,77.0,73.5
MP 01: Naamsestraat 35  Maxim,2022-05-02 12:58:27.435,0.0,Unsupported,0.0%,5,2,12,58,27,435,78.5,73.5
MP 01: Naamsestraat 35  Maxim,2022-05-02 12:59:40.436,0.0,Unsupported,0.0%,5,2,12,59,40,436,69.9,68.8
